days_since_signup,sessions_7d,content_hours_7d,downloads_7d,paywall_views_7d,country_tier,converted
39,5,2.8,0,2,Tier_1,1
52,1,1.03,2,2,Tier_2,1
29,4,2.3,1,3,Tier_2,1
15,4,1.6,0,1,Tier_2,1
43,4,6.75,2,1,Tier_2,0
8,4,0.95,2,0,Tier_1,1
21,5,7.06,1,1,Tier_3,1
39,5,7.47,0,0,Tier_1,1
58,3,3.97,1,1,Tier_1,1
19,6,1.5,0,0,Tier_2,1
23,6,1.62,2,1,Tier_1,1
11,4,2.66,2,1,Tier_3,1
11,5,1.33,1,0,Tier_1,1
24,3,2.54,1,0,Tier_1,0
53,0,1.73,0,0,Tier_1,1
36,0,1.27,0,0,Tier_1,1
40,7,4.38,0,2,Tier_1,1
24,3,0.45,1,0,Tier_2,1
3,8,7.7,0,0,Tier_1,1
22,2,2.97,1,2,Tier_2,1
53,4,8.05,2,0,Tier_3,1
2,3,4.86,0,0,Tier_2,1
24,5,0.39,2,0,Tier_3,1
44,2,1.13,1,2,Tier_3,1
30,0,1.69,1,3,Tier_1,1
38,1,1.42,1,0,Tier_3,1
2,4,9.78,2,0,Tier_3,1
21,5,2.74,0,2,Tier_2,1
33,4,3.21,0,0,Tier_2,1
12,3,7.33,0,2,Tier_2,1
58,4,1.35,1,3,Tier_3,1
22,7,0.38,2,0,Tier_2,1
44,2,2.61,2,0,Tier_1,1
25,1,2.5,0,3,Tier_1,0
49,4,1.75,0,2,Tier_2,0
27,2,3.35,0,1,Tier_1,1
59,5,2.88,1,2,Tier_1,1
42,0,2.39,2,3,Tier_1,1
28,4,4.51,0,1,Tier_1,1
16,1,7.85,2,1,Tier_2,1
15,3,1.25,2,0,Tier_2,1
47,0,1.26,1,0,Tier_1,1
51,2,3.98,1,2,Tier_1,1
44,2,1.84,0,2,Tier_1,1
55,6,3.69,0,2,Tier_2,1
52,1,1.1,0,1,Tier_2,0
57,3,9.25,1,1,Tier_3,1
3,3,2.03,1,2,Tier_3,1
37,2,6.65,0,0,Tier_1,0
51,2,3.92,0,1,Tier_1,1
7,5,2.85,0,2,Tier_3,1
21,5,2.19,0,2,Tier_2,1
9,1,1.62,3,1,Tier_1,1
39,2,2.83,3,6,Tier_1,1
